,team,player,season,season_end
465,2nd Team,Adrian Dantley,1980-1981,1981
466,2nd Team,Marques Johnson,1980-1981,1981
467,2nd Team,Moses Malone,1980-1981,1981
468,2nd Team,Tiny Archibald,1980-1981,1981
469,2nd Team,Otis Birdsong,1980-1981,1981
470,1st Team,Larry Bird,1979-1980,1980
471,1st Team,Julius Erving,1979-1980,1980
472,1st Team,Kareem Abdul-Jabbar,1979-1980,1980
473,1st Team,George Gervin,1979-1980,1980
474,1st Team,Paul Westphal,1979-1980,1980
475,2nd Team,Marques Johnson,1979-1980,1980
476,2nd Team,Dan Roundfield,1979-1980,1980
477,2nd Team,Moses Malone,1979-1980,1980
478,2nd Team,Dennis Johnson,1979-1980,1980
479,2nd Team,Gus Williams,1979-1980,1980
480,1st Team,Elvin Hayes,1978-1979,1979
481,1st Team,Marques Johnson,1978-1979,1979
482,1st Team,Moses Malone,1978-1979,1979
483,1st Team,George Gervin,1978-1979,1979
484,1st Team,Paul Westphal,1978-1979,1979
485,2nd Team,Bob Dandridge,1978-1979,1979
486,2nd Team,Walter Davis,1978-1979,1979
487,2nd Team,Kareem Abdul-Jabbar,1978-1979,1979
488,2nd Team,Phil Ford,1978-1979,1979
489,2nd Team,World B. Free,1978-1979,1979
490,1st Team,Julius Erving,1977-1978,1978
491,1st Team,Truck Robinson,1977-1978,1978
492,1st Team,Bill Walton,1977-1978,1978
493,1st Team,George Gervin,1977-1978,1978
494,1st Team,David Thompson,1977-1978,1978
495,2nd Team,Walter Davis,1977-1978,1978
496,2nd Team,Maurice Lucas,1977-1978,1978
497,2nd Team,Kareem Abdul-Jabbar,1977-1978,1978
498,2nd Team,Pete Maravich,1977-1978,1978
499,2nd Team,Paul Westphal,1977-1978,1978
500,1st Team,Elvin Hayes,1976-1977,1977
501,1st Team,David Thompson,1976-1977,1977
502,1st Team,Kareem Abdul-Jabbar,1976-1977,1977
503,1st Team,Pete Maravich,1976-1977,1977
504,1st Team,Paul Westphal,1976-1977,1977
505,2nd Team,Julius Erving,1976-1977,1977
506,2nd Team,George McGinnis,1976-1977,1977
507,2nd Team,Bill Walton,1976-1977,1977
508,2nd Team,George Gervin,1976-1977,1977
509,2nd Team,Jo Jo White,1976-1977,1977
510,1st Team,Rick Barry,1975-1976,1976
511,1st Team,George McGinnis,1975-1976,1976
512,1st Team,Kareem Abdul-Jabbar,1975-1976,1976
513,1st Team,Tiny Archibald,1975-1976,1976
514,1st Team,Pete Maravich,1975-1976,1976
515,2nd Team,John Havlicek,1975-1976,1976
516,2nd Team,Elvin Hayes,1975-1976,1976
517,2nd Team,Dave Cowens,1975-1976,1976
518,2nd Team,Phil Smith,1975-1976,1976
519,2nd Team,Randy Smith,1975-1976,1976
530,1st Team,Rick Barry,1974-1975,1975
