season_end,Rk_x,player,pos,age,bref_team_id,g,gs,mp,fg,fga,fg_,x3p,x3pa,x3p_,x2p,x2pa,x2p_,efg_,ft,fta,ft_,orb,drb,trb,ast,stl,blk,tov,pf,pts,Rk_y,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,exp
2015,362,Adreian Payne,PF,23,TOT,32,22.0,23.1,2.8,6.9,0.414,0.0,0.3,0.111,2.8,6.6,0.427,0.416,0.9,1.4,0.652,1.5,3.6,5.1,0.9,0.6,0.3,1.4,2.8,6.7,362,739,7.7,0.443,0.041,0.209,7.2,18.2,12.5,6.4,1.3,1.0,15.5,17.0,-0.7,0.2,-0.5,-0.033,-4.6,-1.3,-5.9,-0.7,0
2015,363,Elfrid Payton,PG,20,ORL,82,63.0,30.4,3.7,8.6,0.425,0.1,0.5,0.262,3.5,8.1,0.435,0.433,1.4,2.6,0.551,1.3,3.0,4.3,6.5,1.7,0.2,2.5,2.4,8.9,363,2489,13.8,0.456,0.059,0.302,4.8,11.2,7.9,32.6,2.9,0.7,20.2,18.3,0.0,2.3,2.3,0.044,-1.5,0.8,-0.7,0.8,0
2015,371,Dwight Powell,PF,23,TOT,29,0.0,8.1,1.1,2.3,0.463,0.1,0.4,0.273,1.0,1.9,0.5,0.485,0.9,1.1,0.758,0.6,1.1,1.7,0.3,0.3,0.2,0.4,1.4,3.1,371,236,13.8,0.552,0.164,0.493,8.3,14.9,11.6,5.5,1.9,2.1,11.9,17.5,0.3,0.3,0.6,0.122,-1.0,0.1,-0.9,0.1,0
2015,378,Julius Randle,PF,20,LAL,1,0.0,14.0,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,378,14,-7.5,0.258,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,20.5,15.5,-0.1,0.0,-0.1,-0.276,-12.3,-4.5,-16.8,-0.1,0
2015,388,Glenn Robinson Jr,SG-SF,21,TOT,35,1.0,7.5,0.7,1.9,0.388,0.1,0.5,0.263,0.6,1.4,0.438,0.425,0.5,0.7,0.667,0.4,0.7,1.1,0.3,0.2,0.0,0.3,0.4,2.1,388,261,8.5,0.471,0.284,0.358,6.1,10.6,8.3,7.0,1.2,0.3,12.4,14.9,0.0,0.1,0.1,0.012,-3.9,-2.4,-6.3,-0.3,0
2015,395,Damjan Rudez,SF,28,IND,68,2.0,15.4,1.8,3.9,0.452,1.0,2.5,0.406,0.7,1.4,0.538,0.584,0.2,0.3,0.696,0.1,0.6,0.7,0.8,0.2,0.1,0.7,1.2,4.8,395,1047,8.2,0.591,0.646,0.087,0.9,4.1,2.5,7.9,0.8,0.4,14.7,13.8,0.6,0.7,1.3,0.061,-0.7,-1.8,-2.5,-0.1,0
2015,399,JaKarr Sampson,SF,21,PHI,74,32.0,15.3,2.0,4.7,0.422,0.4,1.7,0.244,1.6,3.0,0.525,0.467,0.9,1.3,0.67,0.5,1.7,2.2,1.0,0.5,0.4,1.0,1.8,5.2,399,1131,9.4,0.498,0.367,0.272,3.2,12.9,7.8,12.0,1.7,1.9,16.4,17.9,-0.5,1.1,0.6,0.025,-4.0,-0.4,-4.4,-0.7,0
2015,412,Marcus Smart,PG,20,BOS,67,38.0,27.0,2.6,7.1,0.367,1.4,4.1,0.335,1.3,3.1,0.41,0.462,1.2,1.9,0.646,0.9,2.4,3.3,3.1,1.5,0.3,1.3,2.6,7.8,412,1808,11.0,0.491,0.57,0.266,3.6,9.9,6.7,16.3,2.7,0.8,14.4,15.1,0.7,2.2,2.9,0.077,-0.1,1.3,1.1,1.4,0
2015,418,Russ Smith,PG,23,TOT,12,0.0,5.4,0.7,2.1,0.32,0.2,0.9,0.182,0.5,1.2,0.429,0.36,1.0,1.1,0.923,0.1,0.4,0.5,0.7,0.3,0.0,1.0,1.1,2.5,418,65,5.2,0.488,0.44,0.52,1.8,8.7,5.3,19.4,2.4,0.0,28.1,30.1,-0.2,0.1,-0.1,-0.094,-5.6,-2.5,-8.0,-0.1,0
2015,422,Nik Stauskas,SG,21,SAC,73,1.0,15.4,1.5,4.1,0.365,0.7,2.0,0.322,0.8,2.0,0.408,0.446,0.8,0.9,0.859,0.2,1.1,1.2,0.9,0.3,0.2,0.5,1.3,4.4,422,1127,7.5,0.492,0.503,0.216,1.1,7.5,4.4,9.0,0.9,1.2,11.0,14.2,0.3,0.2,0.5,0.021,-1.9,-2.0,-3.9,-0.5,0
2015,425,David Stockton,PG,23,SAC,3,0.0,11.0,0.7,2.0,0.333,0.3,0.7,0.5,0.3,1.3,0.25,0.417,1.0,2.0,0.5,0.0,0.7,0.7,3.0,0.7,0.0,1.3,0.3,2.7,425,33,10.8,0.463,0.333,1.0,0.0,6.6,3.4,39.1,3.1,0.0,31.6,16.9,0.0,0.0,0.0,-0.014,-4.4,-4.0,-8.4,-0.1,0
2015,426,Jarnell Stokes,PF,21,MEM,19,2.0,6.6,1.1,1.9,0.568,0.0,0.0,0.0,1.1,1.9,0.568,0.568,0.8,1.5,0.536,0.8,0.9,1.8,0.2,0.3,0.3,0.4,1.3,3.0,426,126,18.6,0.578,0.0,0.757,14.6,16.3,15.4,5.2,2.1,3.3,12.4,20.5,0.3,0.2,0.5,0.186,-0.2,0.7,0.5,0.1,0
2015,456,Noah Vonleh,PF,19,CHO,25,0.0,10.4,1.2,3.0,0.395,0.2,0.5,0.385,1.0,2.5,0.397,0.428,0.7,1.0,0.692,1.1,2.3,3.4,0.2,0.2,0.4,0.4,0.8,3.3,456,259,13.2,0.475,0.171,0.342,11.6,25.3,18.3,2.5,0.8,2.7,11.2,17.3,0.1,0.4,0.5,0.085,-4.8,-0.9,-5.6,-0.2,0
2015,464,T.J. Warren,SF,21,PHO,40,1.0,15.4,2.8,5.4,0.528,0.1,0.5,0.238,2.7,4.8,0.56,0.54,0.4,0.5,0.737,1.0,1.1,2.1,0.6,0.5,0.2,0.7,1.3,6.1,464,614,14.0,0.551,0.098,0.089,7.3,7.9,7.6,6.6,1.5,1.1,10.8,17.8,0.7,0.4,1.1,0.085,-1.0,-1.1,-2.1,0.0,0
2015,466,David Wear,PF,24,SAC,2,0.0,3.5,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.5,0.0,0.0,0.0,0.5,0.0,466,7,2.4,0.0,0.5,0.0,33.6,0.0,16.2,18.8,0.0,0.0,0.0,12.6,0.0,0.0,0.0,-0.11,-0.3,-2.7,-3.0,0.0,0
2015,467,Travis Wear,SF,24,NYK,51,1.0,13.2,1.6,4.1,0.402,0.2,0.6,0.367,1.4,3.5,0.408,0.428,0.4,0.5,0.769,0.6,1.5,2.1,0.8,0.3,0.2,0.7,1.1,3.9,467,672,8.5,0.451,0.144,0.124,5.2,13.3,9.1,9.9,1.2,1.4,13.7,17.5,-0.5,0.2,-0.3,-0.02,-4.5,-1.6,-6.1,-0.7,0
2015,472,Shayne Whittington,PF,23,IND,20,0.0,5.4,1.0,2.1,0.452,0.1,0.3,0.167,0.9,1.8,0.5,0.464,0.9,1.2,0.783,0.5,1.0,1.5,0.3,0.3,0.1,0.3,0.9,2.9,472,108,20.0,0.547,0.143,0.548,10.3,19.3,14.8,9.6,2.4,1.5,8.8,23.9,0.3,0.2,0.4,0.2,0.5,0.0,0.5,0.1,0
2015,473,Andrew Wiggins,SG,19,MIN,82,82.0,36.2,6.1,13.9,0.437,0.5,1.5,0.31,5.6,12.3,0.453,0.454,4.3,5.7,0.76,1.6,2.9,4.6,2.1,1.0,0.6,2.2,2.3,16.9,473,2969,13.9,0.517,0.111,0.41,5.0,9.5,7.2,9.8,1.5,1.3,11.7,22.6,2.1,0.0,2.1,0.034,-0.5,-1.8,-2.3,-0.2,0
2015,474,C.J. Wilcox,SG,24,LAC,21,0.0,4.8,0.8,1.8,0.421,0.3,0.9,0.368,0.4,0.9,0.474,0.513,0.1,0.1,1.0,0.0,0.3,0.3,0.4,0.1,0.0,0.5,0.3,2.0,474,101,8.5,0.527,0.5,0.053,1.1,6.5,3.9,12.0,1.5,0.8,20.5,21.8,-0.1,0.1,0.0,-0.024,-3.3,-2.7,-6.0,-0.1,0
2015,488,James Young,SG,19,BOS,31,0.0,10.7,1.2,3.3,0.353,0.5,2.1,0.258,0.6,1.2,0.528,0.436,0.5,0.9,0.552,0.3,1.1,1.4,0.4,0.3,0.1,0.2,0.7,3.4,488,332,8.5,0.457,0.647,0.284,2.9,11.0,6.9,5.6,1.2,0.5,4.2,15.8,0.1,0.3,0.3,0.047,-1.9,-1.9,-3.8,-0.2,0
