season_end,Rk_x,player,pos,age,bref_team_id,g,gs,mp,fg,fga,fg_,x3p,x3pa,x3p_,x2p,x2pa,x2p_,efg_,ft,fta,ft_,orb,drb,trb,ast,stl,blk,tov,pf,pts,MP,PER_x,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS_x,OBPM,DBPM,BPM,VORP,exp,WSp48,PER_mean,WS_mean
1979,155,Tom LaGarde,C,23,SEA,23,0,25.0,4.3,7.9,0.541,0.0,0.0,0.0,4.3,7.9,0.541,0.541,2.5,4.1,0.6,2.7,5.6,8.3,1.4,0.3,0.8,2.0,3.3,11.0,575,15.6,0.568,0.0,0.525,11.1,23.7,17.4,7.8,0.5,1.6,17.4,18.4,0.8,0.9,1.7,-0.7,0.5,-0.1,0.3,1,0.142,8.45,1.08333333333
1979,157,Mark Landsberger,PF,23,CHI,80,0,24.5,3.5,7.3,0.475,0.0,0.0,0.0,3.5,7.3,0.475,0.475,1.1,2.4,0.469,3.7,5.6,9.3,0.9,0.3,0.3,1.9,1.6,8.1,1959,12.6,0.483,0.0,0.332,16.4,25.0,20.7,4.7,0.6,0.6,18.2,16.7,0.2,2.0,2.2,-2.3,-1.1,-3.4,-0.7,1,0.054,11.9857142857,1.72857142857
1979,167,Cedric Maxwell,SF,23,BOS,80,0,37.1,5.9,10.1,0.584,0.0,0.0,0.0,5.9,10.1,0.584,0.584,7.2,9.0,0.802,3.4,6.5,9.9,2.9,1.2,0.9,3.4,3.3,19.0,2969,19.9,0.676,0.0,0.886,10.1,19.6,14.8,10.4,1.5,1.3,19.6,18.4,8.9,2.7,11.7,3.5,1.0,4.5,4.9,1,0.188,15.9818181818,7.14545454545
1979,183,Glenn Mosley,PF,23,SAS,26,0,8.5,1.2,2.9,0.413,0.0,0.0,0.0,1.2,2.9,0.413,0.413,0.9,1.5,0.605,1.0,1.4,2.5,0.7,0.3,0.4,0.8,1.3,3.3,221,12.2,0.463,0.0,0.507,13.4,17.0,15.2,10.1,1.6,2.3,17.9,19.1,0.0,0.3,0.3,-2.1,0.4,-1.7,0.0,1,0.068,6.4,0.1
1979,189,Norm Nixon,PG,23,LAL,82,0,38.4,7.6,14.0,0.542,0.0,0.0,0.0,7.6,14.0,0.542,0.542,1.9,2.5,0.775,0.6,2.2,2.8,9.0,2.5,0.2,2.8,3.0,17.1,3145,18.2,0.567,0.0,0.178,1.8,6.0,4.0,30.5,2.9,0.3,15.7,18.7,6.5,3.1,9.6,2.5,-0.6,1.9,3.1,1,0.146,14.99,4.75
1979,199,Ben Poquette,PF,23,DET,76,0,17.6,2.6,6.1,0.427,0.0,0.0,0.0,2.6,6.1,0.427,0.427,1.5,1.9,0.782,1.3,3.1,4.4,0.8,0.5,1.3,0.9,2.6,6.7,1337,13.1,0.481,0.0,0.306,7.5,19.1,13.1,5.4,1.3,3.8,11.0,16.8,0.9,1.6,2.5,-2.7,1.1,-1.6,0.1,1,0.091,12.06,3.03
1979,205,Robert Reid,SF,23,HOU,82,0,27.5,4.7,9.5,0.492,0.0,0.0,0.0,4.7,9.5,0.492,0.492,1.6,2.3,0.704,1.6,4.3,5.9,2.8,0.9,0.6,1.6,3.7,10.9,2259,13.9,0.521,0.0,0.239,6.3,16.8,11.6,13.2,1.5,1.1,13.2,17.3,2.9,1.7,4.5,0.5,0.8,1.3,1.9,1,0.096,11.7692307692,3.09230769231
1979,208,Anthony Roberts,SF,23,DEN,63,0,19.6,3.3,7.9,0.424,0.0,0.0,0.0,3.3,7.9,0.424,0.424,1.2,1.7,0.691,1.7,2.4,4.1,1.7,0.3,0.0,1.0,2.3,7.9,1236,11.2,0.456,0.0,0.221,9.0,12.7,10.9,12.0,0.7,0.1,10.6,19.1,0.8,1.0,1.7,-1.4,-1.6,-2.9,-0.3,1,0.067,9.12,0.66
1979,209,Tony Robertson,SG,23,GSW,12,0,6.2,1.3,3.3,0.375,0.0,0.0,0.0,1.3,3.3,0.375,0.375,0.5,0.8,0.667,0.5,0.3,0.8,0.3,0.7,0.0,0.7,0.8,3.0,74,10.7,0.409,0.0,0.225,8.7,5.8,7.3,7.6,5.1,0.0,15.4,28.4,-0.2,0.1,0.0,-4.3,-0.2,-4.5,0.0,1,-0.027,10.65,0.25
1979,215,Tree Rollins,C,23,ATL,81,0,23.5,3.7,6.9,0.535,0.0,0.0,0.0,3.7,6.9,0.535,0.535,1.1,1.7,0.631,2.7,4.6,7.3,0.6,0.6,3.1,1.1,4.0,8.4,1900,17.3,0.553,0.0,0.254,12.0,21.9,16.7,3.6,1.1,7.7,12.4,14.6,3.1,3.3,6.4,-0.2,3.5,3.3,2.5,1,0.163,11.9333333333,3.53888888889
1979,221,Alvin Scott,SF,23,PHO,81,0,21.4,2.6,4.9,0.535,0.0,0.0,0.0,2.6,4.9,0.535,0.535,1.5,2.1,0.714,1.3,3.2,4.4,1.6,1.0,0.8,1.2,1.7,6.7,1737,13.2,0.579,0.0,0.424,6.8,16.1,11.5,8.5,2.0,1.9,17.4,12.6,2.0,2.4,4.4,-0.7,2.1,1.4,1.5,1,0.121,10.9875,2.8875
1979,224,Steve Sheppard,SF,24,TOT,42,0,6.6,0.9,1.8,0.474,0.0,0.0,0.0,0.9,1.8,0.474,0.474,0.5,0.8,0.588,0.6,0.5,1.1,0.5,0.2,0.0,0.6,0.6,2.2,279,9.2,0.506,0.0,0.447,9.5,8.5,9.0,8.9,1.3,0.2,21.6,16.4,0.0,0.2,0.1,-2.8,-1.4,-4.3,-0.2,1,0.023,10.35,0.45
1979,226,Jack Sikma,C,23,SEA,82,0,36.1,5.8,12.6,0.46,0.0,0.0,0.0,5.8,12.6,0.46,0.46,4.0,4.9,0.814,2.8,9.5,12.4,3.2,1.0,0.8,3.1,3.6,15.6,2958,16.3,0.529,0.0,0.391,8.2,27.8,18.0,12.2,1.3,1.2,17.3,19.4,3.1,5.7,8.8,-0.4,2.6,2.1,3.1,1,0.143,17.1285714286,8.02857142857
1979,235,Robert Smith,PG,23,DEN,82,0,18.0,2.2,5.3,0.422,0.0,0.0,0.0,2.2,5.3,0.422,0.422,1.9,2.2,0.883,0.5,1.3,1.8,2.5,0.7,0.2,1.2,2.0,6.4,1479,11.6,0.511,0.0,0.413,2.9,7.3,5.2,18.3,1.8,0.5,15.6,15.9,1.6,1.3,2.9,-1.4,-0.9,-2.4,-0.1,1,0.095,9.15714285714,0.814285714286
1979,261,Wilson Washington,PF,23,NJN,62,0,18.4,3.5,7.0,0.502,0.0,0.0,0.0,3.5,7.0,0.502,0.502,1.1,1.7,0.635,1.4,3.3,4.7,0.8,0.5,1.1,1.6,3.0,8.1,1139,12.9,0.523,0.0,0.24,7.8,19.8,13.6,6.0,1.2,3.2,17.0,19.0,0.2,1.7,1.8,-3.0,0.5,-2.5,-0.1,1,0.077,12.15,1.05
1979,276,Ray Williams,PG,24,NYK,81,0,29.3,7.1,15.5,0.457,0.0,0.0,0.0,7.1,15.5,0.457,0.457,3.1,3.9,0.802,1.3,2.3,3.6,6.2,1.6,0.2,3.5,3.4,17.3,2370,17.7,0.502,0.0,0.249,4.7,8.5,6.6,31.0,2.5,0.4,17.0,27.8,1.9,1.9,3.9,1.6,-0.8,0.8,1.7,1,0.078,15.99,3.71
1980,16,Del Beshore,PG,23,CHI,68,0,12.8,1.3,3.7,0.352,0.1,0.4,0.385,1.1,3.3,0.348,0.372,0.9,1.3,0.667,0.2,0.7,0.9,2.0,0.9,0.1,1.5,1.5,3.6,869,6.4,0.423,0.104,0.348,2.1,5.9,4.1,21.5,3.1,0.3,26.5,18.4,-1.7,0.8,-0.9,-5.3,-1.1,-6.4,-1.0,1,-0.052,3.2,-0.45
1980,23,Winford Boynes,SG,22,NJN,64,0,17.2,3.5,7.3,0.473,0.0,0.1,0.0,3.5,7.2,0.477,0.473,1.6,2.1,0.765,0.8,1.3,2.1,1.5,0.9,0.3,1.5,2.1,8.5,1102,13.1,0.518,0.009,0.291,4.8,7.7,6.3,12.8,2.4,0.9,15.4,21.8,0.3,1.3,1.7,-1.7,-0.6,-2.3,-0.1,1,0.072,10.3,0.3
1980,28,Ron Brewer,SG,24,POR,82,0,34.3,6.7,14.4,0.464,0.1,0.4,0.188,6.6,14.0,0.471,0.466,2.2,2.7,0.84,0.7,2.0,2.6,2.6,1.2,0.6,2.0,1.9,15.7,2815,13.2,0.503,0.027,0.185,2.1,6.3,4.2,11.5,1.7,1.0,11.6,21.1,2.0,2.3,4.3,-0.9,-0.9,-1.7,0.2,1,0.074,12.3125,2.175
