season_end,Rk_x,player,pos,age,bref_team_id,g,gs,mp,fg,fga,fg_,x3p,x3pa,x3p_,x2p,x2pa,x2p_,efg_,ft,fta,ft_,orb,drb,trb,ast,stl,blk,tov,pf,pts,MP,PER_x,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS_x,OBPM,DBPM,BPM,VORP,exp,WSp48,PER_mean,WS_mean,PER_cond,WS_cond,PER_bin,WS_bin
1978,111,Joe Hassett,SG,22,SEA,48,0,8.4,1.9,4.3,0.444,0.0,0.0,0.0,1.9,4.3,0.444,0.444,0.2,0.3,0.833,0.3,0.5,0.8,0.9,0.4,0.0,0.7,0.9,4.0,404,11.9,0.457,0.0,0.059,3.4,5.8,4.5,15.7,2.4,0.0,13.9,23.0,0.0,0.5,0.5,-2.2,-1.9,-4.0,-0.2,0,0.054,12.05,1.06666666667,False,False,0,0
1978,130,Eddie Lee Johnson,SG,22,ATL,79,0,23.7,4.2,8.7,0.484,0.0,0.0,0.0,4.2,8.7,0.484,0.484,2.1,2.5,0.816,0.6,1.3,1.9,3.0,1.3,0.1,2.1,2.9,10.5,1875,13.6,0.535,0.0,0.293,2.9,6.1,4.4,18.9,2.5,0.1,17.8,20.2,1.8,1.8,3.5,0.0,-0.9,-1.0,0.5,0,0.091,15.84,4.44,False,False,0,0
1978,133,Larry Johnson,SG,23,BUF,4,0,9.5,0.8,3.3,0.231,0.0,0.0,0.0,0.8,3.3,0.231,0.231,0.0,0.5,0.0,0.3,1.0,1.3,1.8,1.3,0.5,0.8,0.8,1.5,38,8.0,0.216,0.0,0.154,2.8,11.2,7.1,23.5,6.1,2.7,17.8,17.7,-0.2,0.1,-0.1,-6.7,3.8,-2.9,0.0,0,-0.099,8.0,-0.1,False,False,0,0
1978,134,Marques Johnson,SF,21,MIL,80,0,34.6,7.9,15.1,0.522,0.0,0.0,0.0,7.9,15.1,0.522,0.522,3.8,5.1,0.736,3.7,6.9,10.6,2.4,1.2,1.3,2.2,2.8,19.5,2765,21.3,0.563,0.0,0.34,10.9,21.6,16.2,9.5,1.5,1.9,11.2,21.4,7.7,3.0,10.6,3.1,0.3,3.4,3.7,0,0.185,18.4909090909,7.24545454545,False,True,0,1
1978,142,Eddie Jordan,PG,23,TOT,73,0,16.6,2.9,7.4,0.4,0.0,0.0,0.0,2.9,7.4,0.4,0.4,1.8,2.3,0.784,0.5,1.2,1.6,2.4,1.7,0.3,1.5,1.3,7.7,1213,15.7,0.459,0.0,0.31,2.7,7.1,4.8,20.4,4.5,0.8,14.8,22.0,0.1,1.8,1.9,-0.8,1.0,0.2,0.7,0,0.074,11.2857142857,1.25714285714,False,False,0,0
1978,146,Bernard King,SF,21,NJN,79,0,39.1,10.1,21.1,0.479,0.0,0.0,0.0,10.1,21.1,0.479,0.479,4.0,5.8,0.677,3.4,6.2,9.5,2.4,1.5,0.5,3.9,3.8,24.2,3092,17.3,0.511,0.0,0.277,7.9,16.0,11.8,9.9,1.7,0.6,14.3,26.0,2.6,3.3,5.9,1.2,-0.2,1.0,2.3,0,0.092,18.4642857143,5.37142857143,False,False,0,0
1978,148,Toby Knight,SF,22,NYK,80,0,14.6,2.8,5.8,0.477,0.0,0.0,0.0,2.8,5.8,0.477,0.477,0.8,1.2,0.649,1.5,2.5,4.0,0.5,0.6,0.4,1.2,2.6,6.3,1169,12.2,0.499,0.0,0.209,10.9,17.4,14.2,4.3,1.9,1.2,16.0,19.6,0.4,1.2,1.6,-2.1,-1.3,-3.5,-0.4,0,0.066,14.225,3.925,False,False,0,0
1978,150,John Kuester,PG,22,KCK,78,0,15.6,1.9,4.1,0.455,0.0,0.0,0.0,1.9,4.1,0.455,0.455,1.1,1.3,0.829,0.2,1.2,1.5,3.2,0.7,0.0,1.2,1.8,4.8,1215,12.2,0.516,0.0,0.329,1.6,8.0,4.8,26.3,2.1,0.0,21.0,14.5,1.1,0.8,1.9,-1.4,-1.7,-3.1,-0.3,0,0.077,10.0666666667,0.666666666667,False,False,0,0
1978,155,Tom LaGarde,C,22,DEN,77,0,11.3,1.2,3.1,0.405,0.0,0.0,0.0,1.2,3.1,0.405,0.405,1.5,1.9,0.76,1.0,1.8,2.8,0.6,0.2,0.2,1.3,1.9,4.0,868,8.2,0.505,0.0,0.633,9.2,15.9,12.7,6.9,0.9,1.0,25.0,17.8,-0.3,0.7,0.4,-4.0,-1.5,-5.4,-0.7,0,0.024,8.45,1.08333333333,False,False,0,0
1978,157,Mark Landsberger,PF,22,CHI,62,0,14.9,2.0,4.0,0.506,0.0,0.0,0.0,2.0,4.0,0.506,0.506,1.5,2.5,0.58,1.8,3.1,4.9,0.7,0.3,0.1,1.1,1.3,5.6,926,14.5,0.539,0.0,0.625,13.0,22.4,17.7,6.3,1.1,0.4,17.7,16.9,1.1,0.8,1.9,-0.9,-1.4,-2.2,-0.1,0,0.1,11.9857142857,1.72857142857,False,False,0,0
