season_end,Rk_x,player,pos,age,bref_team_id,g,gs,mp,fg,fga,fg_,x3p,x3pa,x3p_,x2p,x2pa,x2p_,efg_,ft,fta,ft_,orb,drb,trb,ast,stl,blk,tov,pf,pts,MP,PER_x,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS_x,OBPM,DBPM,BPM,VORP,exp,WSp48,PER_mean,WS_mean
1980,163,Tom LaGarde,C,24,SEA,82,0,14.2,1.8,3.7,0.477,0.0,0.0,0.0,1.8,3.7,0.477,0.477,1.1,1.7,0.657,1.5,2.3,3.8,1.1,0.2,0.4,1.2,2.5,4.7,1164,10.8,0.521,0.0,0.448,11.4,16.8,14.1,10.1,0.8,1.6,20.9,15.7,0.6,1.7,2.2,-2.0,0.8,-1.2,0.2,2,0.093,8.45,1.08333333333
1980,165,Mark Landsberger,C,24,TOT,77,0,19.6,3.2,6.3,0.516,0.0,0.0,0.0,3.2,6.3,0.516,0.516,1.5,2.9,0.523,2.9,5.0,8.0,0.6,0.4,0.3,1.3,1.8,8.0,1510,15.7,0.529,0.0,0.46,17.4,27.6,22.6,4.3,1.0,0.8,14.7,18.3,1.6,1.8,3.4,-1.2,-1.9,-3.1,-0.4,2,0.109,11.9857142857,1.72857142857
1980,177,Cedric Maxwell,SF,24,BOS,80,80,34.3,5.7,9.4,0.609,0.0,0.0,0.0,5.7,9.4,0.609,0.609,5.5,6.9,0.787,3.6,5.3,8.8,2.5,1.0,0.8,2.9,3.3,16.9,2744,19.0,0.679,0.0,0.739,11.7,16.8,14.3,9.8,1.3,1.3,18.8,17.7,8.3,3.9,12.2,3.7,1.7,5.4,5.1,2,0.214,15.9818181818,7.14545454545
1980,197,Norm Nixon,PG,24,LAL,82,0,39.3,7.6,14.7,0.516,0.0,0.1,0.125,7.6,14.6,0.519,0.517,2.4,3.1,0.779,0.6,2.2,2.8,7.8,1.8,0.2,3.5,2.9,17.6,3226,14.9,0.548,0.007,0.209,1.9,5.5,3.9,25.3,2.1,0.2,17.9,20.0,4.1,2.7,6.7,0.5,-1.4,-0.9,0.9,2,0.1,14.99,4.75
1980,210,Ben Poquette,C,24,UTA,82,0,28.6,3.6,6.9,0.523,0.0,0.0,0.0,3.6,6.9,0.525,0.523,1.7,2.0,0.832,1.5,5.3,6.8,1.6,0.5,2.0,1.3,3.5,8.9,2349,14.0,0.572,0.004,0.295,6.4,20.9,13.9,7.7,0.9,3.9,13.9,13.6,3.0,1.8,4.9,-1.1,1.3,0.2,1.3,2,0.099,12.06,3.03
1980,214,Robert Reid,SF,24,HOU,76,0,30.3,5.5,11.3,0.487,0.0,0.0,0.0,5.5,11.3,0.488,0.487,2.0,2.7,0.736,1.8,4.0,5.8,3.2,1.7,0.8,2.2,3.7,13.0,2304,15.3,0.52,0.003,0.242,6.5,14.8,10.6,14.7,2.7,1.4,14.7,19.2,2.5,2.3,4.9,0.7,1.7,2.4,2.5,2,0.101,11.7692307692,3.09230769231
1980,218,Anthony Roberts,SF,24,DEN,23,0,21.1,3.0,7.9,0.381,0.0,0.0,0.0,3.0,7.8,0.383,0.381,1.7,2.6,0.65,2.3,2.4,4.7,0.9,0.6,0.1,1.2,2.3,7.7,486,9.3,0.427,0.006,0.331,11.3,12.1,11.7,5.6,1.2,0.3,11.9,19.0,-0.2,0.2,0.1,-3.1,-2.2,-5.4,-0.4,2,0.009,9.12,0.66
1980,226,Tree Rollins,C,24,ATL,82,0,25.9,3.5,6.3,0.558,0.0,0.0,0.0,3.5,6.3,0.558,0.558,1.9,2.7,0.714,3.5,6.0,9.4,0.9,0.7,3.0,1.2,3.9,8.9,2123,18.9,0.598,0.0,0.428,14.2,25.0,19.6,5.2,1.2,6.8,13.9,13.7,4.5,4.7,9.2,0.8,4.5,5.3,3.9,2,0.208,11.9333333333,3.53888888889
1980,229,Alvin Scott,SF,24,PHO,79,0,16.5,1.6,3.8,0.422,0.0,0.0,0.333,1.6,3.8,0.423,0.424,1.2,1.5,0.779,1.1,1.8,2.9,1.2,0.6,0.7,1.2,1.3,4.4,1303,9.9,0.493,0.01,0.405,7.7,11.5,9.6,9.3,1.7,2.2,20.6,13.6,0.0,1.7,1.7,-2.9,1.8,-1.1,0.3,2,0.062,10.9875,2.8875
1980,234,Jack Sikma,C,24,SEA,82,0,34.1,5.7,12.1,0.475,0.0,0.0,0.0,5.7,12.0,0.476,0.475,2.9,3.6,0.805,2.4,8.7,11.1,3.4,0.8,0.9,2.5,2.8,14.3,2793,16.5,0.526,0.001,0.295,7.4,26.9,17.1,13.7,1.1,1.5,15.3,18.6,3.3,5.3,8.6,-0.5,2.4,1.9,2.8,2,0.148,17.1285714286,8.02857142857
1980,242,Robert Smith,PG,24,TOT,65,0,12.4,1.8,4.1,0.439,0.1,0.4,0.308,1.7,3.7,0.453,0.454,1.2,1.4,0.87,0.3,0.9,1.2,1.4,0.4,0.1,0.8,1.6,5.0,809,10.8,0.523,0.097,0.342,2.6,7.6,5.1,15.7,1.5,0.3,14.6,17.4,0.7,0.7,1.4,-1.9,-1.9,-3.8,-0.4,2,0.08,9.15714285714,0.814285714286
1980,279,Ray Williams,PG,25,NYK,82,0,31.5,8.4,16.9,0.496,0.1,0.5,0.189,8.3,16.4,0.505,0.499,4.1,5.2,0.787,1.8,3.2,5.0,6.2,2.0,0.3,3.1,3.6,20.9,2582,21.6,0.546,0.027,0.306,6.2,11.2,8.7,28.5,2.9,0.5,14.0,27.2,6.0,2.2,8.2,4.3,-0.3,4.0,3.9,2,0.152,15.99,3.71
1981,18,Winford Boynes,SG,23,DAL,44,0,17.2,2.8,7.1,0.387,0.0,0.0,0.0,2.8,7.1,0.387,0.387,1.0,1.3,0.818,0.5,1.2,1.7,0.8,0.5,0.4,1.6,1.8,6.5,757,6.1,0.426,0.0,0.176,3.5,8.0,5.6,7.5,1.5,1.2,17.0,22.4,-1.6,0.2,-1.4,-6.2,-2.0,-8.2,-1.2,2,-0.091,10.3,0.3
1981,22,Ron Brewer,SG,25,TOT,75,0,19.4,3.7,8.4,0.436,0.0,0.1,0.143,3.7,8.3,0.439,0.437,1.2,1.5,0.798,0.5,0.7,1.1,2.0,0.8,0.5,1.2,1.3,8.6,1452,12.0,0.471,0.011,0.181,2.6,3.8,3.2,14.0,2.0,1.3,11.9,21.1,0.4,1.0,1.4,-2.2,-2.0,-4.2,-0.8,2,0.046,12.3125,2.175
1981,34,Marty Byrnes,SF,24,DAL,72,0,18.9,3.0,6.3,0.479,0.1,0.3,0.45,2.9,6.0,0.48,0.489,1.7,2.2,0.764,1.0,1.4,2.5,1.6,0.4,0.2,0.8,1.8,7.8,1360,13.6,0.539,0.044,0.348,6.0,8.9,7.4,12.8,1.0,0.7,10.5,17.9,2.1,0.2,2.3,0.1,-1.8,-1.7,0.1,2,0.081,9.85,1.05
1981,44,Maurice Cheeks,PG,24,PHI,81,0,29.8,3.8,7.2,0.534,0.0,0.1,0.375,3.8,7.1,0.536,0.536,1.7,2.2,0.787,0.8,2.2,3.0,6.9,2.4,0.5,2.1,2.9,9.4,2415,16.4,0.579,0.014,0.306,3.3,7.5,5.5,29.5,3.7,0.9,20.9,13.9,4.0,4.5,8.5,1.3,2.0,3.3,3.2,2,0.169,16.14,6.89333333333
