ID,Fleet,Status,Gross_Amount,Trip_Adjusted,Promo_Code,Discount_Applied,Existing_Passenger
339753,Discount Cab,Meter Off,25,No,,0,Yes
339752,Discount Cab,Unable To Auth,0,No,,,
339751,Discount Cab,Meter Off,16,No,,0,Yes
339750,Accessible Van,Unable To Match,0,No,,,
339749,Discount Cab,Cancelled,10,No,,,
339748,RideShare,Meter Off,8,No,,0,Yes
339747,Discount Cab,Meter Off,20,No,1403119,10,Yes
339746,RideShare,Meter Off,10,No,,0,Yes
339745,Discount Cab,Meter Off,24,No,,0,Yes
339744,Discount Cab,Unable To Auth,0,No,,,
339743,Discount Cab,Meter Off,9,Yes,GAME,9,Yes
339742,Discount Cab,Meter Off,22,No,OPEN,10,Yes
339741,RideShare,Meter Off,11,No,,0,Yes
339740,Discount Cab,Meter Off,26,No,,0,Yes
339739,Discount Cab,Cancelled,0,No,,,
339738,Discount Cab,Meter Off,8,No,1501127,10,Yes
339737,Discount Cab,Meter Off,16,No,,0,Yes
339735,Discount Cab,Unable To Auth,0,No,,,
339734,Discount Cab,Meter Off,11,No,1310024,10,Yes
339733,Discount Cab,Meter Off,9,No,,0,Yes
339732,Discount Cab,Meter Off,5,No,1411113,10,No
339731,Discount Cab,Meter Off,46,No,,0,Yes
339730,Discount Cab,Unable To Match,0,No,,,
339729,Discount Cab,Meter Off,16,No,,0,Yes
339728,RideShare,Meter Off,30,No,,0,Yes
339727,Discount Cab,Cancelled,10,No,,,
339726,Discount Cab,Meter Off,6,No,DC10,10,No
339725,Discount Cab,Meter Off,44,No,FB10,10,No
339724,RideShare,Cancelled,0,No,,,
339723,Discount Cab,Meter Off,28,No,,0,Yes
339722,RideShare,Cancelled,0,No,,,
339721,Discount Cab,Unable To Match,0,No,,,
339720,Discount Cab,Meter Off,12,No,DC10,10,No
339719,Discount Cab,Meter Off,28,No,,0,Yes
339718,Discount Cab,Cancelled,0,No,,,
339717,RideShare,Meter Off,0,No,FB10,6,Yes
339716,Discount Cab,Meter Off,0,No,1404300,8,Yes
339714,Discount Cab,Meter Off,3,No,BIGGAME,10,No
339713,Discount Cab,Meter Off,16,No,TRYUS,10,No
339712,Discount Cab,Unable To Match,0,No,,,
339711,Discount Cab,Unable To Match,0,No,,,
339710,Discount Cab,Meter Off,25,No,,0,Yes
339709,Discount Cab,Meter Off,10,No,DC10,10,No
339708,Discount Cab,Meter Off,52,No,1401290,10,No
339707,Discount Cab,Meter Off,9,No,,0,Yes
339706,RideShare,Cancelled,0,No,,,
339705,Discount Cab,Meter Off,20,No,,0,Yes
339704,SUV,Meter Off,0,No,FREEBWIN1,72,Yes
339703,Discount Cab,Meter Off,19,No,DC10,10,No
339702,Discount Cab,Meter Off,14,No,,0,Yes
339701,RideShare,Meter Off,6,No,,0,Yes
339700,Discount Cab,Unable To Match,0,No,,,
339699,Discount Cab,Unable To Match,0,No,,,
339698,RideShare,Meter Off,3,No,PHOENIX,10,Yes
339697,RideShare,Meter Off,9,Yes,,0,Yes
339696,Discount Cab,Meter Off,21,No,PHOENIX,10,Yes
339695,Discount Cab,Cancelled,0,No,,,
339694,Discount Cab,Meter Off,28,No,,0,Yes
339693,Discount Cab,Unable To Match,0,No,,,
339692,Discount Cab,Meter Off,10,No,DC10,10,No
339691,Discount Cab,Cancelled,0,No,,,
339690,Discount Cab,Meter Off,10,No,,0,Yes
339689,Discount Cab,Cancelled,0,No,,,
339688,Discount Cab,Unable To Match,0,No,,,
339687,Discount Cab,Meter Off,17,No,DC10,10,No
339686,Discount Cab,Cancelled,0,No,,,
339685,RideShare,Meter Off,0,No,DC10,9,No
339684,Discount Cab,Cancelled,0,No,,,
339683,RideShare,Meter Off,10,No,,0,Yes
339682,RideShare,Unable To Match,0,No,,,
339681,Discount Cab,Cancelled,10,No,,,
339680,Discount Cab,Cancelled,10,No,,,
339679,RideShare,Meter Off,0,No,NEWYEARS,6,Yes
339678,RideShare,Cancelled,0,No,,,
339677,Discount Cab,Cancelled,10,No,,,
