company;total_funding
ranbaxy laboratories;0.0
clearwater international;0.0
exxonmobil research and engineering;0.0
rio tinto alcan international;0.0
ari technologies;0.0
johnson & johnson ind e com;0.0
syngenta participations;0.0
monsanto technology;0.0
monsanto invest;0.0
icon genetics;85000000.0
pioneer hi-bred international;0.0
zenph sound innovations;1065294.0
lsi;0.0
red chip;0.0
nanosolar;520000000.0
emcore solar power;204142.0
solyndra;1567504319.0
vivant medical;0.0
fluke;0.0
trw automotive electronics & components;0.0
delta electronics;0.0
mitsubishi denki kabushiki kaisha;0.0
accuray;0.0
ion beam applications;0.0
ovonyx;303750.0
osram opto semiconductors;0.0
pioneer;0.0
international rectifier;0.0
group iv semiconductor;0.0
hitachi displays;0.0
vanguard international semiconductor;0.0
globalfoundries;0.0
nanya technology;0.0
atmel;0.0
spansion;0.0
alpha & omega semiconductor;0.0
ixys;0.0
infineon technologies austria;0.0
allegro microsystems;0.0
sanyo semiconductor;0.0
sanyo electric;0.0
sony ericsson mobile communications;0.0
finisar;0.0
semtech;0.0
mediatek;0.0
potenco;0.0
avocent huntsville;0.0
juniper networks;0.0
green power technologies;0.0
ampt;0.0
tigo energy;0.0
siemens industry;8900000.0
shenzhen futaihong precision industry;0.0
magnetic applications;15250000.0
osram;0.0
lumenergi;27901875.0
altair engineering;0.0
marvell international;0.0
exact products;0.0
nvidia;25000000.0
revolution motor technology;0.0
international controls and measurements;0.0
hitachi koki;0.0
seiko instruments;0.0
lifescan;0.0
advantest;0.0
tabula;108000000.0
arm;0.0
sige semiconductor;0.0
nujira;57750000.0
broadcom;0.0
mag layers scientific-technics;0.0
qualcomm;0.0
abb;2700000.0
intersil americas;0.0
denso international america;0.0
mstar semiconductor;0.0
mack trucks;0.0
prenova;15650000.0
vanguard products group;0.0
bank of america;0.0
mckesson automation;0.0
st-ericsson;0.0
qinetiq;0.0
fujitsu component;0.0
fujitsu hitachi plasma display;0.0
hitachi plasma display;0.0
casio computer;0.0
toshiba matsuhita display technology;0.0
novatek microelectronics;16600000.0
international business machines corporatoin;0.0
fujitsu toshiba mobile communications;0.0
nintendo;0.0
autodesk;0.0
imove;5717561.0
new vad;0.0
flextronics international usa;0.0
altasens;15102417.0
nikon;0.0
nec lcd technologies;0.0
asml netherlands;0.0
tokyo institute of technology;0.0
media lario;0.0
terumo kabushiki kaisha;5546715.0
optos;0.0
genesys logic;0.0
qualcomm mems technologies;0.0
oewaves;0.0
nokia siemens networks &;0.0
gsi group;0.0
light prescriptions innovators;9700000.0
toshiba storage device;0.0
headway technologies;0.0
parker-hannifin;0.0
adtran;0.0
sma solar technology;0.0
westerngeco;0.0
atlas elektronik;2189019.0
johnson outdoors;0.0
nightingale products;120000.0
hitachi media electronics;0.0
victor of japan;18992723.0
lantiq deutschland;0.0
dell product;0.0
avaya;0.0
world wide packets;0.0
e f johnson;0.0
huawei technologies;0.0
net optic;0.0
t-mobile international;0.0
nice systems;64000000.0
interdigital technology;0.0
media patents;0.0
livetv;0.0
celtro;35230812.0
mitsubishi electric research laboratories;0.0
airvana network solutions;0.0
marvell world trade;0.0
psion teklogix;0.0
vanu;42150000.0
time warner cable;0.0
marvell israel misl;0.0
comcast cable communications;725000000.0
oracle international;0.0
interdigital patent holdings;0.0
sony disc & digital solutions;0.0
aware;0.0
oracle america;0.0
maxim integrated products;0.0
agency for science technology and research;0.0
harris;0.0
sirf technology holdings;0.0
teradyne;0.0
microstrategy;0.0
verizon data services;30079503000.0
amdocs software systems;0.0
accenture global services;0.0
aol;1000000000.0
nuance communications;0.0
rovi solutions;0.0
toyota motor engineering & manufacturing north america;0.0
red lion 49;0.0
epcos pte;0.0
siemens medical instruments pte;8900000.0
siemens audiologische technik;8900000.0
digimarc;0.0
uei cayman;0.0
arcsoft;20000000.0
spectrum dynamics;0.0
hitachi medical;0.0
conformis;219100000.0
dr systems;0.0
matrox electronic systems;0.0
snell & wilcox;0.0
toyota mapmaster;0.0
esker;0.0
network integrity systems;0.0
akustica;27000000.0
oclaro north america;0.0
mitsubishi cable industries;0.0
corning cable systems;0.0
tellabs pataluma;0.0
verizon patent and licensing;30079503000.0
new jersey institute of technology;0.0
tellabs operations;0.0
ciena;0.0
canon kasei kabushiki kaisha;0.0
quintic holdings;12300000.0
harris stratex networks operating;0.0
quantance;50750012.0
micrel;0.0
first data;0.0
roche diagnostics international;0.0
casio hitachi mobile communications;0.0
xius holding;0.0
nec communication systems;0.0
motorola solutions;0.0
telcom ventures;0.0
lenovo singapore pte;0.0
packet video;0.0
qualcomm atheros;0.0
terumo cardiovascular systems;5546715.0
microchips;25712500.0
varian medical systems;0.0
braingate;0.0
medtronic vascular;0.0
biotronik crm patent;0.0
betastim;0.0
carnegie mellon university;0.0
dassault systemes delmia;0.0
vistaprint technologies;0.0
irobot;0.0
invensys rail;0.0
snap-on;0.0
bose;0.0
trw automotive safety systems;0.0
trw automotive us;0.0
mapquest;0.0
paradigm geophysical;65000000.0
roche molecular systems;0.0
affymetrix;0.0
abb research;2700000.0
exxonmobil research & engineering;0.0
evolution robotics;0.0
health hero network;0.0
tegic communications;0.0
raytheon bbn technologies;3000000.0
cs technology;0.0
